power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
44.02 W, 561 MiB, 9 %, 3 %
41.01 W, 561 MiB, 9 %, 3 %
40.33 W, 561 MiB, 11 %, 3 %
39.94 W, 561 MiB, 12 %, 4 %
59.96 W, 561 MiB, 12 %, 4 %
45.28 W, 561 MiB, 12 %, 4 %
41.39 W, 561 MiB, 12 %, 4 %
40.33 W, 561 MiB, 12 %, 4 %
40.04 W, 561 MiB, 14 %, 4 %
39.94 W, 561 MiB, 14 %, 4 %
53.88 W, 561 MiB, 12 %, 4 %
43.53 W, 561 MiB, 12 %, 4 %
41.10 W, 561 MiB, 12 %, 4 %
40.33 W, 561 MiB, 12 %, 4 %
40.04 W, 561 MiB, 12 %, 4 %
60.72 W, 691 MiB, 12 %, 4 %
49.43 W, 561 MiB, 13 %, 4 %
43.14 W, 561 MiB, 13 %, 4 %
40.81 W, 561 MiB, 9 %, 3 %
40.33 W, 561 MiB, 9 %, 3 %
40.03 W, 561 MiB, 9 %, 3 %
40.04 W, 561 MiB, 13 %, 4 %
55.62 W, 561 MiB, 13 %, 4 %
45.57 W, 561 MiB, 12 %, 4 %
41.98 W, 561 MiB, 12 %, 4 %
40.53 W, 561 MiB, 13 %, 4 %
40.23 W, 561 MiB, 12 %, 4 %
40.03 W, 561 MiB, 12 %, 4 %
61.32 W, 691 MiB, 12 %, 4 %
51.95 W, 561 MiB, 13 %, 4 %
44.21 W, 561 MiB, 13 %, 4 %
41.69 W, 561 MiB, 6 %, 2 %
40.52 W, 561 MiB, 6 %, 2 %
40.25 W, 561 MiB, 12 %, 4 %
39.94 W, 561 MiB, 13 %, 4 %
39.94 W, 561 MiB, 13 %, 4 %
60.06 W, 561 MiB, 13 %, 4 %
47.89 W, 561 MiB, 13 %, 4 %
43.34 W, 561 MiB, 12 %, 4 %
41.30 W, 561 MiB, 13 %, 4 %
40.52 W, 561 MiB, 13 %, 4 %
40.23 W, 561 MiB, 8 %, 2 %
40.04 W, 561 MiB, 13 %, 4 %
